"time","country","cum_confirm","cum_heal","cum_dead"
2020-01-22,"United States",1,0,0
2020-01-23,"United States",1,0,0
2020-01-24,"United States",2,0,0
2020-01-25,"United States",2,0,0
2020-01-26,"United States",3,0,0
2020-01-27,"United States",5,0,0
2020-01-28,"United States",5,0,0
2020-01-29,"United States",5,0,0
2020-01-30,"United States",5,0,0
2020-01-31,"United States",5,0,0
2020-02-01,"United States",5,0,0
2020-02-02,"United States",5,0,0
2020-02-03,"United States",5,0,0
2020-02-06,"United States",12,1,0
2020-02-07,"United States",12,1,0
2020-02-08,"United States",12,3,0
2020-02-09,"United States",12,3,0
2020-02-10,"United States",12,3,0
2020-02-11,"United States",13,3,0
2020-02-12,"United States",13,3,0
2020-02-13,"United States",14,3,0
2020-02-14,"United States",15,3,0
2020-02-15,"United States",15,3,0
2020-02-16,"United States",15,3,0
2020-02-17,"United States",15,3,0
2020-02-18,"United States",15,3,0
2020-02-19,"United States",15,3,0
2020-02-20,"United States",15,3,0
2020-02-21,"United States",15,3,0
2020-02-22,"United States",34,3,0
2020-02-23,"United States",34,3,0
2020-02-24,"United States",34,3,0
2020-02-25,"United States",53,3,0
2020-02-26,"United States",57,3,0
2020-02-27,"United States",60,3,0
2020-02-28,"United States",60,3,0
2020-02-29,"United States",64,3,0
2020-03-01,"United States",69,3,1
2020-03-02,"United States",89,3,2
2020-03-03,"United States",106,3,6
2020-03-04,"United States",126,3,9
2020-03-05,"United States",161,3,11
2020-03-06,"United States",233,3,14
2020-03-07,"United States",338,10,17
2020-03-08,"United States",445,10,19
2020-03-09,"United States",572,10,22
2020-03-10,"United States",717,10,26
2020-03-11,"United States",1004,10,31
2020-03-12,"United States",1323,10,38
2020-03-13,"United States",1832,31,41
2020-03-14,"United States",2291,41,50
2020-03-15,"United States",2995,56,60
2020-03-16,"United States",3782,56,69
2020-03-17,"United States",5073,56,90
2020-03-18,"United States",6536,106,116
2020-03-19,"United States",10525,108,153
2020-03-20,"United States",14387,121,204
2020-03-21,"United States",19624,147,260
2020-03-22,"United States",27111,178,346
2020-03-23,"United States",39183,178,473
2020-03-24,"United States",46450,178,586
2020-03-25,"United States",55231,354,797
2020-03-26,"United States",69197,619,1046
2020-03-27,"United States",86012,753,1301
2020-03-28,"United States",104860,894,1711
2020-03-29,"United States",124868,2612,2190
2020-03-30,"United States",143724,4865,2566
2020-03-31,"United States",165764,5945,3170
2020-04-01,"United States",189753,7141,4081
2020-04-02,"United States",216722,8672,5137
2020-04-03,"United States",255456,9359,6532
2020-04-04,"United States",288993,9897,7793
2020-04-05,"United States",312249,15021,8503
2020-04-06,"United States",337300,17582,9627
2020-04-07,"United States",374782,19972,11697
2020-04-08,"United States",400549,22461,12907
2020-04-09,"United States",431694,24213,14789
2020-04-10,"United States",469464,26522,16711
2020-04-11,"United States",503177,29191,18777
2020-04-12,"United States",529112,30548,20549
2020-04-13,"United States",556569,32634,22063
2020-04-14,"United States",587815,37315,23599
2020-04-15,"United States",614726,38879,26126
2020-04-16,"United States",650833,52739,32707
