"name","confirm","dead","deadRate","heal","healRate"
"France",147863,17188,11.62,31470,21.28
"United States",143071,2513,1.76,4856,3.39
"United Kingdom",104145,13759,13.21,375,0.36
"Italy",97689,10779,11.03,13030,13.34
"Spain",85195,7340,8.62,14709,17.27
"China",84156,4642,5.52,77720,92.35
"Germany",63929,560,0.88,9211,14.41
"Iran",44606,2898,6.5,14656,32.86
"Switzerland",15526,312,2.01,1823,11.74
"Austria",14476,410,2.83,8986,62.08
"Belgium",11899,513,4.31,1527,12.83
"Netherlands",11814,864,7.31,253,2.14
"South Korea",9976,169,1.69,5828,58.42
"Turkey",9217,131,1.42,105,1.14
"Portugal",6408,140,2.18,43,0.67
