"name","nowConfirm","confirm","suspect","dead","deadRate","showRate","heal","healRate","showHeal"
"Hong Kong",484,1021,0,4,"0.39",FALSE,533,"52.20",TRUE
"Heilongjiang",388,872,0,13,"1.49",FALSE,471,"54.01",TRUE
"Taiwan",223,395,0,6,"1.52",FALSE,166,"42.03",TRUE
"Hubei",129,68128,0,4512,"6.62",FALSE,63487,"93.19",TRUE
"Shanghai",109,628,0,7,"1.11",FALSE,512,"81.53",TRUE
"Guangdong",92,1577,0,8,"0.51",FALSE,1477,"93.66",TRUE
"Inner Mongolia",89,193,0,1,"0.52",FALSE,103,"53.37",TRUE
"Beijing",76,593,0,8,"1.35",FALSE,509,"85.83",TRUE
"Shanxi",62,197,0,0,"0.00",FALSE,135,"68.53",TRUE
"Macau",29,45,0,0,"0.00",FALSE,16,"35.56",TRUE
"Zhejiang",21,1268,0,1,"0.08",FALSE,1246,"98.26",TRUE
"Fujian",19,354,0,1,"0.28",FALSE,334,"94.35",TRUE
"Shandong",19,787,0,7,"0.89",FALSE,761,"96.70",TRUE
"Tianjin",13,189,0,3,"1.59",FALSE,173,"91.53",TRUE
"Jiangsu",10,653,0,0,"0.00",FALSE,643,"98.47",TRUE
"Hebei",6,328,0,6,"1.83",FALSE,316,"96.34",TRUE
"Sichuan",5,560,0,3,"0.54",FALSE,552,"98.57",TRUE
"Yunnan",5,184,0,2,"1.09",FALSE,177,"96.20",TRUE
"Jilin",4,102,0,1,"0.98",FALSE,97,"95.10",TRUE
"Liaoning",4,146,0,2,"1.37",FALSE,140,"95.89",TRUE
"Chongqing",3,579,0,6,"1.04",FALSE,570,"98.45",TRUE
"Guizhou",1,147,0,2,"1.36",FALSE,144,"97.96",TRUE
"Anhui",1,991,0,6,"0.61",FALSE,984,"99.29",TRUE
"Shaanxi",1,256,0,3,"1.17",FALSE,252,"98.44",TRUE
"Hunan",1,1019,0,4,"0.39",FALSE,1014,"99.51",TRUE
"Ningxia",0,75,0,0,"0.00",FALSE,75,"100.00",TRUE
"Qinghai",0,18,0,0,"0.00",FALSE,18,"100.00",TRUE
"Jiangxi",0,937,0,1,"0.11",FALSE,936,"99.89",TRUE
"Henan",0,1276,0,22,"1.72",FALSE,1254,"98.28",TRUE
"Tibet",0,1,0,0,"0.00",FALSE,1,"100.00",TRUE
"Guangxi",0,254,0,2,"0.79",FALSE,252,"99.21",TRUE
"Xinjiang",0,76,0,3,"3.95",FALSE,73,"96.05",TRUE
"Hainan",0,168,0,6,"3.57",FALSE,162,"96.43",TRUE
"Gansu",0,139,0,2,"1.44",FALSE,137,"98.56",TRUE
